model,cv_f1_macro,cv_f1_std,cv_accuracy
LogisticRegression (word+char),0.593659392154312,0.013844721110806096,0.5922468354430379
LinearSVC (char),0.5933186979068579,0.008540304089444985,0.5922468354430379
LinearSVC (word+char),0.5922819567230311,0.010662836163153142,0.5909810126582279
LinearSVC (word),0.5802503332462026,0.011558724119506673,0.579113924050633
LogisticRegression (word),0.5746732212212854,0.010914936639956435,0.573259493670886
SGD hinge (word+char),0.5705364642215781,0.012275132202278164,0.5694620253164557
RandomForest (word),0.5598377009033576,0.011328016490058388,0.5590189873417721
MultinomialNB (word),0.5581973470792512,0.012004550266789505,0.558860759493671
ComplementNB (word),0.555519441663624,0.013869582286917854,0.5591772151898734
Majority baseline,0.17202782165689381,0.00014225816334783968,0.34778481012658224
